timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282874274,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873837,470,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,3,3,https://www.boredapi.com,470,0,313
1723282874307,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282873880,449,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,3,3,https://www.boredapi.com,449,0,300
1723282874329,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874274,460,HTTP Request,200,OK,Thread Group 1-3,text,false,,1216,119,3,3,https://www.boredapi.com,460,0,308
1723282874734,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874308,450,HTTP Request,200,OK,Thread Group 1-2,text,false,,1232,119,3,3,https://www.boredapi.com,449,0,301
1723282874759,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874330,454,HTTP Request,200,OK,Thread Group 1-1,text,false,,1232,119,3,3,https://www.boredapi.com,454,0,305
1723282874785,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874735,458,HTTP Request,200,OK,Thread Group 1-3,text,false,,1232,119,3,3,https://www.boredapi.com,458,0,309
1723282875193,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874759,448,HTTP Request,200,OK,Thread Group 1-2,text,false,,1232,119,3,3,https://www.boredapi.com,448,0,297
1723282875207,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282874785,480,HTTP Request,200,OK,Thread Group 1-1,text,false,,1232,119,3,3,https://www.boredapi.com,480,0,322
1723282875265,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875208,463,HTTP Request,200,OK,Thread Group 1-2,text,false,,1232,119,3,3,https://www.boredapi.com,463,0,311
1723282875672,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875194,483,HTTP Request,200,OK,Thread Group 1-3,text,false,,1232,119,3,3,https://www.boredapi.com,483,0,325
1723282875677,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282875265,461,HTTP Request,200,OK,Thread Group 1-1,text,false,,1232,119,3,3,https://www.boredapi.com,461,0,309
